Grade,school_address,school_name,TRACT,observation,drivedura_50,drivedura_mean,drive_traf_dura_50,drive_traf_dura_mean,transdura_50,transdura_mean,state,county,tract,schoolLat,schoolLon,_merge,tractLon,tractLat
9,"410 8TH STREET NW, Washington, District of Columbia 20004",BASIS DC PCS,300,1,21.933332,21.933332,24.133333,24.133333,31.65,31.65,11,11001,1,38.895306,-77.023308,matched (3),-77.075833,38.918477
9,"410 8TH STREET NW, Washington, District of Columbia 20004",BASIS DC PCS,1001,1,30.383333,30.383333,37.916668,37.916668,33.383335,33.383335,11,11001,1,38.895306,-77.023308,matched (3),-77.087999,38.94896
9,"410 8TH STREET NW, Washington, District of Columbia 20004",BASIS DC PCS,901,1,25.016666,25.016666,30.266666,30.266666,51.016666,51.016666,11,11001,1,38.895306,-77.023308,matched (3),-77.09655,38.937301
9,"1200 Clifton St. NW Washington, DC 20009",Cardozo EC,702,1,17.25,17.25,18.683332,18.683332,46.016666,46.016666,11,11001,1,38.921951,-77.028259,matched (3),-77.077303,38.92408
9,"4501 KANSAS AVENUE NW, Washington, District of Columbia 20011",E.L. Haynes PCS - High School,1302,1,11.016666,11.016666,11.7,11.7,42.033333,42.033333,11,11001,1,38.945656,-77.022369,matched (3),-77.057213,38.940028
9,"1700 East Capitol St. NE Washington, DC 20003",Eastern HS,1401,1,34.483334,34.483334,52.700001,52.700001,61.866665,61.866665,11,11001,1,38.890324,-76.979523,matched (3),-77.070745,38.96434
9,"3500 R St. NW Washington, DC 20007",Ellington School of the Arts,600,1,7.9166665,7.9166665,9.3833332,9.3833332,15.516666,15.516666,11,11001,1,38.913452,-77.070381,matched (3),-77.06607,38.936614
9,"3500 R St. NW Washington, DC 20007",Ellington School of the Arts,300,2,3.8249998,3.8249998,4.8249998,4.8249998,10.225,10.225,11,11001,1,38.913452,-77.070381,matched (3),-77.075833,38.918477
9,"3500 R St. NW Washington, DC 20007",Ellington School of the Arts,702,1,5.1500001,5.1500001,6.25,6.25,13,13,11,11001,1,38.913452,-77.070381,matched (3),-77.077303,38.92408
9,"3500 R St. NW Washington, DC 20007",Ellington School of the Arts,802,2,5.5083332,5.5083332,6.0916667,6.0916667,11.758333,11.758333,11,11001,1,38.913452,-77.070381,matched (3),-77.085244,38.910608
9,"3500 R St. NW Washington, DC 20007",Ellington School of the Arts,400,1,2.0666666,2.0666666,2.75,2.75,7.2666669,7.2666669,11,11001,1,38.913452,-77.070381,matched (3),-77.066702,38.923157
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,300,3,16.233334,16.027779,16.666666,17.416666,26.383333,25.4,11,11001,1,38.898026,-77.047897,matched (3),-77.075833,38.918477
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,1200,3,19.4,19.105555,23.266666,22.950001,39.150002,40.372223,11,11001,1,38.898026,-77.047897,matched (3),-77.070948,38.948211
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,902,1,14.9,14.9,19.133333,19.133333,48.316666,48.316666,11,11001,1,38.898026,-77.047897,matched (3),-77.104037,38.927788
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,502,1,15.083333,15.083333,16.700001,16.700001,33.383335,33.383335,11,11001,1,38.898026,-77.047897,matched (3),-77.057687,38.928498
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,1401,4,24.358334,24.1875,29.325001,29.141666,51.516666,50.929169,11,11001,1,38.898026,-77.047897,matched (3),-77.070745,38.96434
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,901,2,17.641666,17.641666,22.5,22.5,47.508331,47.508331,11,11001,1,38.898026,-77.047897,matched (3),-77.09655,38.937301
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,1402,2,21.883333,21.883333,26.266666,26.266666,44.383331,44.383331,11,11001,1,38.898026,-77.047897,matched (3),-77.065451,38.960334
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,1301,2,21.291668,21.291668,25.233334,25.233334,41.325001,41.325001,11,11001,1,38.898026,-77.047897,matched (3),-77.064237,38.951365
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,501,1,14.75,14.75,14.566667,14.566667,26.15,26.15,11,11001,1,38.898026,-77.047897,matched (3),-77.053717,38.925509
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,1100,4,21.825001,22.220833,26.291666,26.754166,45.316666,45.720833,11,11001,1,38.898026,-77.047897,matched (3),-77.07784,38.959127
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,701,1,14.316667,14.316667,15.8,15.8,25.616667,25.616667,11,11001,1,38.898026,-77.047897,matched (3),-77.076022,38.929285
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,600,2,15.85,15.85,18.433334,18.433334,30.158333,30.158333,11,11001,1,38.898026,-77.047897,matched (3),-77.06607,38.936614
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,801,1,16.25,16.25,18.516666,18.516666,42.733334,42.733334,11,11001,1,38.898026,-77.047897,matched (3),-77.087021,38.928288
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,1001,6,20.716667,20.916666,25.908333,26.33889,39.433334,39.80278,11,11001,1,38.898026,-77.047897,matched (3),-77.087999,38.94896
9,"2130 G St. NW Washington, DC 20037",School Without Walls HS,802,1,10.15,10.15,12.683333,12.683333,34.966667,34.966667,11,11001,1,38.898026,-77.047897,matched (3),-77.085244,38.910608
9,"5200 2ND STREET NW, Washington, District of Columbia 20011",Washington Latin PCS - Upper School,300,3,24.116667,23.772223,26.15,25.922222,71.416664,72.244446,11,11001,1,38.953888,-77.014038,matched (3),-77.075833,38.918477
9,"5200 2ND STREET NW, Washington, District of Columbia 20011",Washington Latin PCS - Upper School,1002,1,19.516666,19.516666,20.466667,20.466667,53.616665,53.616665,11,11001,1,38.953888,-77.014038,matched (3),-77.078528,38.938056
